key,de,english,french,ukrainian,italian,swedish,turkish,russian
legendRowBreak,-br- = Zeilenumbruch,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
exportDatev,Export DATEV,GERMAN_FALLBACK,OK,OK,MISSING,MISSING,MISSING,MISSING
exportDebitors,Export Debitoren,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
salesVolume,Export Umsatz,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
exportSalesVolumeDoctorCommunity,Export Umsatz je Arzt und Filiale,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
daylist,Tagesliste,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
productranking,Produktranking,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
from,Von: ,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
to,Bis: ,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
showExportDatev,Zeige Datev-Export Tabelle,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
showExportDatevDebitors,Zeige Datev-Export Debitoren,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
showExportSalesVolume,Zeige Export Umsatz,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
showExportSalesVolumeDoctorCommunity,Zeige Export Umsatz je Arzt und Filiale,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
showDaylist,Suche Tagesliste,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
columnMWSTNew,Mwst (neu),OK,OK,OK,MISSING,MISSING,MISSING,MISSING
columnMWSTOld,Mwst (alt),OK,OK,OK,MISSING,MISSING,MISSING,MISSING
columnMWSTValidFrom,Mwst gültig_ab,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
columnSoldpriceNew,Bruttopreis (neu),OK,OK,OK,MISSING,MISSING,MISSING,MISSING
columnSoldpriceOld,Bruttopreis (alt),OK,OK,OK,MISSING,MISSING,MISSING,MISSING
columnSoldpriceValidFrom,Preis gültig_ab,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
productValidTo,gültig_bis,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
productValidFrom,gültig_ab,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
logo,Logo,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
branch,Filiale,OK,MISSING,OK,MISSING,MISSING,MISSING,MISSING
communityData,Gesellschaftsdaten,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
fileTooBig,"Datei zu groß, Limit wird überschritten",OK,OK,OK,MISSING,MISSING,MISSING,MISSING
searchProformaInvoice,ProFormaRechnung suchen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
finishProformaInvoice,Abschluss ProForma-Rechnung,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
createCredit,Gutschrift erstellen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
searchCredit,Gutschrift suchen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
finishCredit,Abschluss Gutschrift,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
searchID,Suche per ID,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
overtakeCredit,Gutschrift übernehmen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
createCancellation,Storno erstellen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
searchCancellation,Storno suchen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
wrongPatient,Falscher Patient,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
wrongPayment,Falsche Zahlart,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
wrongCommunity,Falsche Gesellschaft,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
wrongArticle,Falscher Artikel,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
noExtraPaying,Zuzahlungsbefreit,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
addCancellationText,Stornogrund übernehmen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
overtakePaymentAdvice,ProFormaRechnung übernehmen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
finishCancellation,Abschluss Storno,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
searchProformaCancellation,ProFormaStorno suchen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
overtakeProformaCancellation,ProFormaStorno übernehmen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
overtakeCancellation,Storno übernehmen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
editInvoiceProducts,Rechnungsprodukte anpassen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceQRCodeInvoice,QR-Code für die Rechnung,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoicePostadress,Postanschrift,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceTelephone,Telefon,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceFax,Fax,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
invoiceEmail,E-Mail,OK,GERMAN_FALLBACK,GERMAN_FALLBACK,MISSING,MISSING,MISSING,MISSING
invoiceTaxNumber,Steuernummer,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceVoucherNumber,Beleg Nr.,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoicePatientID,Patienten ID,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceDate,Datum,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceEditor,Bearbeiter,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceInvoiceLabelRechnung,Rechnung,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceDescription,Beschreibung,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceAmount,Menge,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceReducement,Rabatt %,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceTaxRate,Steuersatz,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceSinglePrice,Einzelpreis,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceTotalPrice,Gesamtpreis,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoicePaymentMethod,Zahlungsart: ,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoicePaymentMethod0,noch nicht gewählt,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceSalutationLabel0,"Sehr geehrte(r) <Anrede> <Titel> <Vorname> <Namenszusatz> <Nachname>,",OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceInvoiceTextLabel0,"sehr gern haben wir <SieIhrKind>, <Anrede> <Titel> <Vorname> <Namenszusatz> <Nachname> am <Behandlungsdatum> behandelt und hoffen, dass Sie einen angenehmeren Aufenthalt bei uns hatten. -br- Wir erlauben uns Ihre Behandlung wie folgt in Rechnung zu stellen. :",OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceLawHintLabel0,Gern beantworten wir Ihnen weitere Fragen. -br- Diese Liquidation wurde maschinell erstellt und ist daher ohne Unterschrift oder Stempel gültig.,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceGreetingsLabel0,Mit freundlichen Grüßen -br--br- Ihr(e) <Gesellschaftsname>,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
newDummyElement,Neues Dummyelement,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
newDummyElementPresent,Neues Dummyelement (Gutschein),OK,OK,OK,MISSING,MISSING,MISSING,MISSING
editInvoiceText,Rechnungstext anpassen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
removeInvoiceText,Rechnungstext löschen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
questionRemoveInvoiceText,  Rechnungstext wirklich löschen ?,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
newInvoiceText,neuer Rechnungstext,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
new,Neu,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
